iter	R2	RMSE
68	0.4400727454	1.220839872
69	0.4421447196	1.218578959
70	0.443653144	1.216930343
71	0.4436532175	1.216930263
72	0.4444243244	1.216086627
73	0.4461905981	1.21415201
74	0.4474323109	1.212790103
75	0.4489665724	1.211105214
76	0.4512926835	1.208546254
77	0.4528547653	1.206824759
78	0.4541761889	1.205366562
79	0.4568424133	1.202418989
80	0.459089468	1.199929194
81	0.4609917932	1.197817324
82	0.4616534544	1.197081906
83	0.4642523241	1.194188952
84	0.4662647376	1.191943993
85	0.468243449	1.1897325
86	0.4691766695	1.188688065
87	0.4711990592	1.186421506
88	0.4714343669	1.186157508
89	0.4720417865	1.185475755
90	0.4729566687	1.184448173
91	0.4733943976	1.183956207
92	0.4753666791	1.181737007
93	0.4762225807	1.180772654
94	0.4762226674	1.180772557
95	0.4772706205	1.179590744
96	0.4779097419	1.178869403
97	0.4797394107	1.176801912
98	0.4812313101	1.175113402
99	0.4835995449	1.172428074
100	0.4841504668	1.171802505
101	0.4853305827	1.170461363
102	0.4865689809	1.169052332
103	0.4879344174	1.167496788
104	0.4887150529	1.166606534
105	0.4902707185	1.164830389
106	0.4915756734	1.163338396
107	0.4940512299	1.160502748
108	0.494654024	1.159811223
109	0.4957958069	1.158500238
110	0.4973460696	1.156717863
111	0.4988999121	1.154928612
112	0.4999546631	1.153712483
113	0.500589598	1.152979785
114	0.5012653592	1.152199462
115	0.5028805748	1.150332177
116	0.5044015246	1.148571093
117	0.5057513804	1.147005852
118	0.5078935852	1.144517438
119	0.5083159534	1.144026171
120	0.5095166215	1.14262849
121	0.5100523246	1.142004333
122	0.5108204758	1.141108752
123	0.5118273699	1.139933756
124	0.5123955009	1.13927024
125	0.5130917424	1.138456578
126	0.5142735534	1.137074123
127	0.5154554079	1.135689934
128	0.5166199106	1.134324415
129	0.5180403956	1.132656497
130	0.5194155394	1.131039476
131	0.5203596697	1.12992794
132	0.5221886665	1.127771524
133	0.5221949295	1.127764132
134	0.5240866207	1.125529437
135	0.5255497044	1.123798018
136	0.5271110767	1.121947336
137	0.528200273	1.120654511
138	0.5289106721	1.119810496
139	0.5296951102	1.118877777
140	0.5306641595	1.117724475
141	0.5321002254	1.116013168
142	0.5332101957	1.114688657
143	0.5333669532	1.114501474
144	0.5335812119	1.114245578
145	0.5339539149	1.113800306
146	0.5347285446	1.11287428
147	0.5350872624	1.112445193
148	0.5350872667	1.112445187
149	0.5356793932	1.11173654
150	0.5366051812	1.110627666
151	0.5374158789	1.109655733
152	0.538109396	1.10882361
153	0.5389995518	1.107754632
154	0.5395646911	1.107075427
155	0.5397542693	1.106847492
156	0.5400703875	1.106467309
157	0.5407755539	1.105618763
158	0.5414744963	1.104777064
159	0.5418895037	1.104276989
160	0.5424438499	1.10360866
161	0.5432980549	1.102578023
162	0.5440080974	1.101720591
163	0.5460483049	1.099253158
164	0.546975624	1.098129823
165	0.5472932097	1.097744842
166	0.5472933271	1.0977447
167	0.5481448678	1.096711786
168	0.5490205771	1.09564854
169	0.5493424094	1.095257526
170	0.549746644	1.094766199
171	0.5510526549	1.0931773
172	0.552002368	1.092020422
173	0.552073954	1.091933171
174	0.5526463968	1.091235211
175	0.5534316911	1.090277001
176	0.5542708418	1.089252144
177	0.5549909463	1.08837191
178	0.5549909915	1.088371855
179	0.5551922577	1.088125705
180	0.5561758982	1.086921908
181	0.5568207553	1.086131996
182	0.5577088252	1.085043221
183	0.5585836611	1.083969602
184	0.559270965	1.08312538
185	0.559981578	1.082251834
186	0.5606877322	1.081383071
187	0.5616428501	1.080206903
188	0.5617871247	1.080029126
189	0.562217172	1.079499044
190	0.5631649141	1.078329925
191	0.5639416579	1.0773708
192	0.5647506754	1.076370915
193	0.5654812751	1.075467149
194	0.5660887313	1.074715136
195	0.5667509746	1.073894698
196	0.5672187335	1.073314824
197	0.5681502963	1.072159046
198	0.5685302042	1.071687341
199	0.5694648612	1.070525958
200	0.5708495458	1.068803062
201	0.5720555169	1.067300264
202	0.5725511224	1.066682061
203	0.5733273468	1.065713102
204	0.5742450683	1.064566375
205	0.5753099103	1.063234265
206	0.575452469	1.063055799
207	0.5758854021	1.062513634
208	0.5762647836	1.062038305
209	0.5767033065	1.061488611
210	0.577136095	1.060945827
211	0.5779340626	1.059944323
212	0.5790357807	1.058560033
213	0.5799702327	1.05738449
214	0.5809654782	1.05613103
215	0.5815758972	1.055361502
216	0.5821789331	1.054600731
217	0.5830376257	1.053516482
218	0.5841936324	1.052055059
219	0.5843092437	1.051908791
220	0.5853313333	1.050614792
221	0.5864353421	1.049215288
222	0.5867509618	1.048814847
223	0.5868939071	1.048633436
224	0.5870873095	1.04838794
225	0.5871554985	1.04830137
226	0.5875763725	1.047766889
227	0.5886654044	1.046382625
228	0.5897993843	1.04493928
229	0.590968997	1.043448489
230	0.59125263	1.043086649
231	0.5913477952	1.042965215
232	0.591780449	1.042412958
233	0.5920906641	1.042016806
234	0.5923843109	1.041641674
235	0.5925543469	1.041424392
236	0.5928617694	1.041031434
237	0.5934027431	1.040339584
238	0.5950682223	1.038206709
239	0.5954705905	1.037690764
240	0.5960862262	1.036900855
241	0.5963086794	1.036615282
242	0.5973582386	1.035266854
243	0.5979167343	1.034548607
244	0.5982252913	1.034151577
245	0.5984401149	1.033875066
246	0.5984401598	1.033875008
247	0.5996385732	1.03233111
248	0.6006966555	1.030966076
249	0.6019721851	1.029318106
250	0.6030384711	1.027938449
251	0.6038941133	1.026830002
252	0.6053436313	1.024949478
253	0.6062147794	1.023817638
254	0.606374472	1.023610021
255	0.6069111305	1.022912002
256	0.6074553451	1.022203668
257	0.6084668306	1.020885842
258	0.6086961246	1.020586867
259	0.6091718574	1.019966283
260	0.6092954755	1.019804963
261	0.6097466771	1.019215937
262	0.6105762835	1.018132028
263	0.6108278303	1.017803146
264	0.6111488918	1.017383223
265	0.6112948681	1.01719224
266	0.6114716083	1.01696096
267	0.6117660771	1.016575505
268	0.6118136294	1.016513247
269	0.612512376	1.015597958
270	0.6129170502	1.015067498
271	0.6141038009	1.013510265
272	0.6147502284	1.012661027
273	0.6158160639	1.011259238
274	0.6167899686	1.009976655
275	0.6171427646	1.009511639
276	0.6177901614	1.008657755
277	0.6180996831	1.008249256
278	0.6189276642	1.007155693
279	0.6197459167	1.006073811
280	0.6201457881	1.005544684
281	0.6204118798	1.005192425
282	0.6209462889	1.004484587
283	0.6214276996	1.003846521
284	0.6218292329	1.003314014
285	0.6219293119	1.003181246
286	0.6227093456	1.002145833
287	0.6227777214	1.00205502
288	0.6237318634	1.000786924
289	0.6238774322	1.000593315
290	0.6240466143	1.000368254
291	0.6243041989	1.000025494
292	0.6243690665	0.9999391578
293	0.6249869178	0.9991164514
294	0.6250716977	0.9990035089
295	0.6258114805	0.9980174396
296	0.6264378033	0.997181841
297	0.6272971014	0.9960342814
298	0.6273514266	0.9959616877
299	0.6277228491	0.9954652216
300	0.6283920478	0.9945701039
301	0.6293145969	0.9933347833
302	0.6293999192	0.9932204566
303	0.6297591017	0.9927390295
304	0.6299079402	0.9925394667
305	0.6308595253	0.9912626308
306	0.6310911819	0.9909515452
307	0.6320146139	0.9897105206
308	0.632124123	0.9895632454
309	0.6322361454	0.9894125671
310	0.6323322033	0.9892833441
311	0.6323538073	0.9892542789
312	0.6328775819	0.9885493471
313	0.6331611166	0.9881675369
314	0.6336232431	0.987544917
315	0.6340437903	0.9869779754
316	0.6348264967	0.9859219372
317	0.6354982284	0.9850147248
318	0.6356519122	0.9848070485
319	0.6357152606	0.9847214316
320	0.636054807	0.9842623998
321	0.6362944167	0.9839383432
322	0.6369491343	0.9830523355
323	0.6371031022	0.9828438599
324	0.6376425898	0.9821130334
325	0.6381255039	0.9814583837
326	0.6389894282	0.9802861369
327	0.6393921872	0.9797391595
328	0.6395475102	0.9795281374
329	0.6403084186	0.9784937086
330	0.6408284946	0.9777860535
331	0.6414704205	0.9769118933
332	0.6421630635	0.9759677893
333	0.6427146271	0.9752153294
334	0.6432304227	0.9745111397
335	0.6436253233	0.9739716575
336	0.6445286588	0.9727364668
337	0.6452915945	0.971692031
338	0.6461377532	0.9705323509
339	0.6467343003	0.9697139356
340	0.6472395732	0.9690202007
341	0.6477409497	0.9683313242
342	0.6481099143	0.9678240647
343	0.6485073587	0.9672773528
344	0.6485689915	0.967192545
345	0.6487385636	0.9669591726
346	0.6487947737	0.9668818013
347	0.6488122436	0.9668577533
348	0.6495895874	0.9657871049
349	0.6504134924	0.9646510298
350	0.6512621184	0.9634794666
351	0.6514043536	0.9632829656
352	0.6517460273	0.9628107722
353	0.6518393739	0.9626817269
354	0.6523114373	0.9620288659
355	0.65294931	0.9611459871
356	0.6536875903	0.9601231209
357	0.6540902528	0.9595647839
358	0.654137442	0.9594993295
359	0.6544029028	0.9591310352
360	0.6545402254	0.9589404616
361	0.654919111	0.9584144548
362	0.6549532088	0.9583671025
363	0.6557772023	0.957222098
364	0.655901225	0.9570496401
365	0.6560133088	0.9568937567
366	0.6570816841	0.955406611
367	0.6576633959	0.9545959118
368	0.6580154348	0.9541049603
369	0.6581450901	0.9539240801
370	0.6586498754	0.9532195345
371	0.6590107279	0.9527155614
372	0.6593382023	0.9522579737
373	0.6603019736	0.9509099962
374	0.6608074948	0.950202185
375	0.6609197044	0.950045002
376	0.6614364357	0.9493208296
377	0.6615782283	0.9491220179
378	0.6617076529	0.9489405115
379	0.6625592194	0.9477453985
380	0.662671369	0.9475878923
381	0.6635690796	0.9463261754
382	0.6639699217	0.9457622551
383	0.6645803365	0.9449028533
384	0.6652065377	0.944020413
385	0.6652877765	0.9439058711
386	0.6659091409	0.9430293241
387	0.66651239	0.9421775519
388	0.6668029813	0.9417669695
389	0.6670112397	0.9414726068
390	0.6676791405	0.9405279414
391	0.6679827704	0.9400981796
392	0.668264967	0.9396985784
393	0.6690756795	0.9385496323
394	0.6693634752	0.9381414282
395	0.6697372746	0.9376109727
396	0.6703622627	0.9367233868
397	0.6710286508	0.9357760784
398	0.6712965322	0.9353949996
399	0.6719464254	0.934469838
400	0.6725442428	0.9336179999
401	0.6727653424	0.9333027551
402	0.6729393599	0.9330545654
403	0.6731530991	0.9327496328
404	0.6734727748	0.9322933788
405	0.6737987737	0.9318278701
406	0.6744001137	0.9309685787
407	0.6747163368	0.9305163898
408	0.6750731477	0.9300058978
409	0.6753401269	0.9296237451
410	0.6761263877	0.9284973821
411	0.6767274579	0.9276353926
412	0.6774926514	0.9265368751
413	0.678122625	0.9256315018
414	0.6783718769	0.9252730422
415	0.6784805183	0.9251167569
416	0.6789061173	0.9245042604
417	0.6792357117	0.9240296489
418	0.6799396034	0.9230152373
419	0.6806676779	0.9219648005
420	0.6811729264	0.9212351441
421	0.6821877592	0.9197678208
422	0.682276866	0.9196388716
423	0.6824624707	0.919370219
424	0.6833199023	0.918128114
425	0.6834958104	0.9178730797
426	0.6838415914	0.9173715541
427	0.6843245132	0.9166706586
428	0.6846193764	0.9162424411
429	0.6850949441	0.9155513719
430	0.685446486	0.9150401947
431	0.6858663697	0.9144292672
432	0.6865824011	0.9133865046
433	0.6870371878	0.9127235762
434	0.6871889663	0.9125022262
435	0.6882112508	0.9110099512
436	0.688498686	0.9105899285
437	0.6890117739	0.9098396824
438	0.6894191191	0.9092436145
439	0.6900840951	0.9082697149
440	0.6901930683	0.9081100171
441	0.6905168026	0.907635426
442	0.6908789044	0.9071042944
443	0.6913099643	0.9064716092
444	0.6914446983	0.9062737637
445	0.6916698347	0.9059430734
446	0.6918485392	0.9056804985
447	0.6920572128	0.9053737928
448	0.6929002547	0.9041336416
449	0.6934255365	0.9033600686
450	0.6936374683	0.9030477728
451	0.6940461397	0.9024452629
452	0.6946168036	0.9016032514
453	0.6950287217	0.9009949796
454	0.6955603541	0.9002093202
455	0.6961776946	0.8992961381
456	0.6964241123	0.8989313731
457	0.6966865738	0.8985426962
458	0.6968516691	0.8982981219
459	0.6971089778	0.8979168086
460	0.6978930778	0.896753828
461	0.6985206788	0.8958218794
462	0.6988645589	0.8953108274
463	0.6991222703	0.8949276423
464	0.6993720151	0.8945561461
465	0.6996727196	0.8941086423
466	0.7004397492	0.8929661449
467	0.7009295413	0.8922358299
468	0.7012352003	0.8917797674
469	0.7018170027	0.8909110364
470	0.7022368485	0.890283608
471	0.7025597892	0.889800696
472	0.7032482358	0.8887703458
473	0.7036401982	0.8881831889
474	0.7039733726	0.8876837907
475	0.7043955568	0.887050571
476	0.7046099917	0.8867287742
477	0.704900088	0.8862932485
478	0.705141728	0.8859303074
479	0.705661221	0.8851495297
480	0.7059833555	0.8846650281
481	0.7061647311	0.8843921159
482	0.706463451	0.8839424547
483	0.7067707032	0.883479711
484	0.7074198049	0.8825013199
485	0.7078335771	0.8818770743
486	0.7083105096	0.8811569924
487	0.7087880833	0.880435352
488	0.7089534906	0.8801852745
489	0.7094573451	0.879423064
490	0.7095211971	0.879326424
491	0.7097798615	0.8789348273
492	0.7100633266	0.8785054839
493	0.7103974432	0.8779991529
494	0.7110240677	0.8770487578
495	0.7112220786	0.8767482224
496	0.7114563485	0.876392521
497	0.7118227328	0.8758359355
498	0.7124364643	0.8749028039
499	0.7127832497	0.8743751031
500	0.7132549154	0.8736568612
501	0.7135818009	0.8731587407
502	0.7138341282	0.8727740404
503	0.7143939263	0.8719199615
504	0.7145981242	0.8716082104
505	0.7147358015	0.8713979541
506	0.7149421751	0.8710826918
507	0.7150005536	0.8709934904
508	0.71520913	0.8706747144
509	0.715583374	0.870102449
510	0.715909495	0.8696034626
511	0.7160381622	0.8694065146
512	0.7164908439	0.8687132501
513	0.7169616318	0.8679916691
514	0.7172075686	0.8676144808
515	0.7174478208	0.8672458525
516	0.7176654524	0.8669117967
517	0.7182190475	0.8660614692
518	0.7186631664	0.8653786943
519	0.7187307232	0.8652747872
520	0.718993157	0.8648710276
521	0.7192240585	0.8645156252
522	0.7194877047	0.8641096435
523	0.7197313757	0.8637342514
524	0.7200460235	0.863249273
525	0.7203516834	0.8627778872
526	0.7207443015	0.8621720168
527	0.7209042271	0.8619251049
528	0.7210472965	0.8617041577
529	0.7212759097	0.8613509843
530	0.721455336	0.8610736959
531	0.7215586513	0.8609139903
532	0.7216801975	0.8607260651
533	0.7218084162	0.8605277791
534	0.7220127184	0.8602117378
535	0.7223759144	0.8596496122
536	0.7227164375	0.8591222437
537	0.7231784647	0.8584061837
538	0.7235216853	0.8578738658
539	0.7239056965	0.8572778921
540	0.7242178081	0.8567931989
541	0.7244073646	0.8564986936
542	0.7245797538	0.8562307724
543	0.7247359004	0.8559880226
544	0.7250138353	0.8555557667
545	0.7251162624	0.8553964128
546	0.7253379156	0.8550514676
547	0.7255263937	0.8547580414
548	0.7257941792	0.8543409746
549	0.7262599837	0.8536150145
550	0.7265123975	0.8532213674
551	0.726615664	0.8530602678
552	0.7270529946	0.852377678
553	0.7271615797	0.8522081126
554	0.727269244	0.8520399519
555	0.7276532092	0.8514399664
556	0.7279821617	0.8509256076
557	0.7281190708	0.8507114413
558	0.728172377	0.8506280401
559	0.7284984746	0.8501176596
560	0.7287347572	0.8497476585
561	0.7287952568	0.8496528948
562	0.729156941	0.8490861484
563	0.7293354652	0.848806268
564	0.7299771616	0.8477994882
565	0.7302124208	0.8474300823
566	0.7303540836	0.8472075644
567	0.7305611132	0.8468822661
568	0.730795731	0.8465134683
569	0.7314808729	0.8454355668
570	0.7317808319	0.8449632228
571	0.732142613	0.8443931761
572	0.7323562052	0.8440564451
573	0.7324471575	0.8439130169
574	0.7328740492	0.8432394988
575	0.7334566369	0.8423194664
576	0.7336643988	0.841991122
577	0.7337896879	0.8417930547
578	0.7338762993	0.8416561052
579	0.7339129885	0.8415980856
580	0.7340303677	0.8414124376
581	0.734754264	0.8402666107
582	0.7349506143	0.8399555461
583	0.7351954743	0.8395674693
584	0.7352410101	0.83949528
585	0.7354825957	0.8391121841
586	0.73592029	0.8384176613
587	0.7365604246	0.8374008741
588	0.7368638747	0.8369184435
589	0.7374049208	0.8360575878
590	0.7376522117	0.8356638292
591	0.7380089952	0.8350953996
592	0.7382802034	0.8346630501
593	0.7384691256	0.8343617454
594	0.7386984448	0.8339958666
595	0.738876261	0.8337120506
596	0.7391118824	0.8333358213
597	0.7391418775	0.8332879144
598	0.7393058529	0.8330259709
599	0.7393583935	0.8329420222
600	0.7394877066	0.8327353712
601	0.7398023924	0.8322322678
602	0.739926744	0.8320333771
603	0.7401168655	0.8317292006
604	0.7404046079	0.8312686281
605	0.7406836442	0.8308217472
606	0.7408866067	0.8304965486
607	0.740935769	0.8304177585
608	0.7415598176	0.8294169768
609	0.7418616594	0.8289324821
610	0.7424363609	0.8280092286
611	0.7425301057	0.8278585307
612	0.7430990718	0.8269433093
613	0.743414116	0.8264361028
614	0.7438950358	0.8256612436
615	0.744442177	0.8247788029
616	0.7445241682	0.8246464844
617	0.7447315835	0.8243116603
618	0.7450105799	0.8238610701
619	0.7452439693	0.8234839477
620	0.7455857096	0.8229314346
621	0.7458727214	0.8224671177
622	0.7461976519	0.8219411408
623	0.7466710124	0.821174292
624	0.7468126961	0.8209446237
625	0.7470386376	0.8205782411
626	0.7472420422	0.8202482639
627	0.7478247974	0.8193021419
628	0.7483098172	0.8185138625
629	0.7484738872	0.8182470355
630	0.7488305849	0.8176666377
631	0.7490161364	0.8173645561
632	0.7494712771	0.8166231048
633	0.7500185768	0.8157306284
634	0.7503660443	0.8151635093
635	0.7506679397	0.8146704502
636	0.7509716812	0.8141740748
637	0.751340314	0.8135712469
638	0.751592655	0.8131583342
639	0.7517233383	0.8129444111
640	0.7518410089	0.8127517408
641	0.752198691	0.8121658029
642	0.7523788982	0.8118704357
643	0.7525391113	0.8116077493
644	0.7526293601	0.8114597396
645	0.752793428	0.8111905957
646	0.7531584349	0.8105915025
647	0.7537047183	0.8096940484
648	0.7539156973	0.8093471781
649	0.7542246062	0.8088390329
650	0.7543964264	0.8085562562
651	0.7544358882	0.8084912971
652	0.7548345837	0.8078347011
653	0.7550754087	0.8074378373
654	0.7554402953	0.8068361561
655	0.7556694142	0.8064581201
656	0.7558851699	0.8061019707
657	0.7561368562	0.8056863115
658	0.7566604958	0.8048208343
659	0.7568273046	0.8045449354
660	0.757152831	0.8040062476
661	0.7573965884	0.8036026365
662	0.7576133306	0.8032435863
663	0.757642412	0.8031953986
664	0.7577492116	0.8030184073
665	0.7586575259	0.801511543
666	0.7587140379	0.8014176978
667	0.7591578822	0.8006802566
668	0.759719626	0.7997459521
669	0.7599774528	0.7993167634
670	0.7600403906	0.7992119596
671	0.7601570585	0.7990176483
672	0.760622546	0.7982419044
673	0.7610158208	0.7975859164
674	0.7611566898	0.7973508138
675	0.7613386967	0.7970469513
676	0.7615322533	0.7967236794
677	0.7615549197	0.7966858141
678	0.761655397	0.7965179405
679	0.7618996679	0.7961096744
680	0.7620048115	0.7959338765
681	0.7621945555	0.7956165302
682	0.7622724448	0.795486224
683	0.7622994566	0.7954410291
684	0.7623446807	0.7953653565
685	0.7626220507	0.7949010814
686	0.7629099713	0.7944188593
687	0.7630479876	0.7941875995
688	0.7632522245	0.7938452573
689	0.7632877401	0.7937857108
690	0.7634987277	0.7934318715
691	0.7639026519	0.7927540247
692	0.7643946665	0.7919275648
693	0.7645962868	0.7915886444
694	0.7649560646	0.7909835033
695	0.7651882368	0.7905927472
696	0.7652840196	0.7904314841
697	0.7653992099	0.7902375024
698	0.7655379497	0.7900037998
699	0.7657205388	0.7896961292
700	0.7658652234	0.7894522441
701	0.7659560861	0.7892990445
702	0.7662700376	0.7887694756
703	0.766847291	0.7877948437
704	0.7670327507	0.7874814584
705	0.7671471603	0.7872880697
706	0.7677064134	0.7863420688
707	0.76780507	0.7861750687
708	0.7683541654	0.7852449438
709	0.7686740283	0.7847026125
710	0.7686953456	0.7846664556
711	0.7688189872	0.7844567097
712	0.7689552438	0.7842254988
713	0.7689721668	0.7841967777
714	0.7691363175	0.7839181331
715	0.7696411028	0.7830606425
716	0.7699104001	0.7826027964
717	0.7699364876	0.7825584295
718	0.7700441836	0.7823752448
719	0.7700859838	0.7823041334
720	0.7702091486	0.7820945654
721	0.7704105809	0.7817517023
722	0.7710828891	0.7806062588
723	0.7711818038	0.7804375913
724	0.7713167193	0.780207477
725	0.771608813	0.7797090442
726	0.771667707	0.779608508
727	0.7720851575	0.778895519
728	0.7722595538	0.7785974635
729	0.7723026925	0.7785237189
730	0.7724282695	0.7783090082
731	0.7725290976	0.7781365699
732	0.7731205196	0.7771243381
733	0.7733548952	0.7767228341
734	0.7737857563	0.7759841927
735	0.7739434851	0.7757136166
736	0.7740594849	0.7755145641
737	0.774240863	0.775203222
738	0.7745309753	0.7747049735
739	0.7747916823	0.7742569531
740	0.7749330872	0.7740138428
741	0.7749803078	0.7739326419
742	0.7752689102	0.7734361732
743	0.7756861313	0.772717884
744	0.7757387597	0.7726272313
745	0.7757705265	0.7725725078
746	0.7760490777	0.7720924909
747	0.7762177793	0.7718016284
748	0.7763586168	0.7715587234
749	0.7763936259	0.7714983307
750	0.7764840865	0.7713422588
751	0.7767715164	0.7708461462
752	0.7769020515	0.7706207333
753	0.7773043829	0.7699255569
754	0.7775238116	0.7695461481
755	0.7775527189	0.7694961511
756	0.777706834	0.7692295452
757	0.7780772015	0.7685884631
758	0.7781574144	0.7684495492
759	0.7783244511	0.7681601921
760	0.7784295716	0.7679780363
761	0.7784614051	0.7679228658
762	0.7785533621	0.7677634733
763	0.7787454743	0.7674303711
764	0.7789605264	0.7670573219
765	0.7792868327	0.7664909342
766	0.7794252226	0.7662505968
767	0.7795839635	0.7659748237
768	0.7796921627	0.7657867973
769	0.7797665569	0.7656574899
770	0.7798191509	0.765566061
771	0.7798392283	0.7655311557
772	0.7799749807	0.765295104
773	0.7803121941	0.764708428
774	0.7804176341	0.7645248937
775	0.7805186187	0.7643490733
776	0.7805839912	0.7642352341
777	0.7806349516	0.7641464804
778	0.7807954922	0.7638668118
779	0.7810377439	0.7634446053
780	0.7812325349	0.7631049457
781	0.7813156045	0.7629600502
782	0.7814827487	0.762668423
783	0.7815379038	0.7625721657
784	0.7816518713	0.7623732302
785	0.7818684663	0.7619950102
786	0.7820266137	0.7617187334
787	0.782201748	0.7614126641
788	0.7823686254	0.7611209105
789	0.7825496733	0.7608042557
790	0.7826703856	0.7605930553
791	0.7828668695	0.7602491582
792	0.7831005783	0.7598399051
793	0.7831256851	0.759795927
794	0.7832794322	0.7595265609
795	0.7834745915	0.7591845029
796	0.7836170301	0.7589347516
797	0.7838364322	0.7585498921
798	0.7840044933	0.7582549592
799	0.7841291057	0.7580362009
800	0.7842556464	0.7578139929
801	0.7843318726	0.7576801066
802	0.7845440469	0.757307312
803	0.7845718508	0.7572584465
804	0.7846542531	0.757113605
805	0.7847942372	0.7568674868
806	0.7849920766	0.7565195112
807	0.7852645473	0.7560400063
808	0.7854405368	0.7557301311
809	0.7856789109	0.7553102089
810	0.7858433481	0.7550203986
811	0.7863295668	0.754162817
812	0.7863855898	0.7540639421
813	0.7864292901	0.7539868067
814	0.7864740995	0.7539077053
815	0.7866936133	0.753520081
816	0.7867211639	0.753471417
817	0.7870154729	0.7529513702
818	0.7870816617	0.7528343645
819	0.7870980492	0.7528053926
820	0.7871224382	0.7527622726
821	0.7871892909	0.7526440633
822	0.787359722	0.7523426226
823	0.7874474963	0.7521873294
824	0.7875393943	0.7520247062
825	0.7876437748	0.7518399511
826	0.7877004887	0.7517395475
827	0.7879527063	0.7512928713
828	0.7880434801	0.7511320463
829	0.7883583699	0.7505738854
830	0.7886053228	0.7501358558
831	0.7888279676	0.7497407233
832	0.7889293058	0.7495608072
833	0.7891696382	0.7491339477
834	0.789390706	0.7487410897
835	0.7895351736	0.7484842459
836	0.7895648293	0.7484315112
837	0.7898095847	0.7479961373
838	0.7898545244	0.7479161704
839	0.7900710452	0.7475307681
840	0.7901224062	0.7474393173
841	0.7901790089	0.7473385207
842	0.7902943306	0.7471331167
843	0.7904234644	0.7469030441
844	0.7905577241	0.746663764
845	0.7907660727	0.7462922891
846	0.7909666786	0.7459344444
847	0.7910933774	0.745708348
848	0.7912548501	0.7454200976
849	0.7914538189	0.7450647584
850	0.7916773191	0.7446654062
851	0.7917557013	0.7445253013
852	0.7922367057	0.7436649489
853	0.7923306162	0.7434968589
854	0.7924109352	0.7433530662
855	0.7927569637	0.7427332632
856	0.7927762954	0.7426986214
857	0.7930108111	0.7422782451
858	0.7934370064	0.7415136678
859	0.793728962	0.7409894558
860	0.7938914917	0.7406974696
861	0.7939667484	0.7405622314
862	0.7940065955	0.740490615
863	0.7941300212	0.7402687408
864	0.7945672925	0.7394821513
865	0.7948802942	0.738918591
866	0.7950032273	0.7386971321
867	0.7953570706	0.7380593272
868	0.7956210985	0.7375830559
869	0.7957571937	0.7373374379
870	0.7959655494	0.7369612491
871	0.7960211277	0.7368608696
872	0.7961977012	0.7365418701
873	0.7963794348	0.7362134041
874	0.7964599393	0.736067853
875	0.7966130104	0.7357910233
876	0.7967309629	0.7355776346
877	0.7968106128	0.7354335043
878	0.7969164493	0.7352419446
879	0.7972218515	0.7346888988
880	0.7973274402	0.7344975937
881	0.7975516957	0.7340911236
882	0.797838356	0.7335712147
883	0.798212783	0.7328915701
884	0.7984105803	0.7325322818
885	0.7985107862	0.732350196
886	0.7986090223	0.7321716454
887	0.7988177964	0.7317920404
888	0.7988694964	0.7316980059
889	0.7989311921	0.7315857752
890	0.7991489007	0.7311896032
891	0.7992489601	0.7310074497
892	0.799439207	0.7306609884
893	0.799540593	0.7304762859
894	0.7996995108	0.7301866794
895	0.799871914	0.7298723677
896	0.8000519748	0.7295439506
897	0.8001612949	0.7293444869
898	0.800243482	0.7291944936
899	0.8008816225	0.7280288227
